figure,panel,suite,method,metric,unit,estimand,mean,ci95_low,ci95_high,n_blocks,n_evaluable_scenarios
3,c,stress,WeightedMaxWeight,phase_recovery_deadline_expiration_class0_by_arrival_cohort,%,mean,8.096736009824742,7.700396557225098,8.493075462424386,10,720
3,c,stress,EDF,phase_pre_surge_deadline_expiration_class0_by_arrival_cohort,%,mean,0.0,0.0,0.0,10,720
3,c,stress,EDF,phase_surge_deadline_expiration_class0_by_arrival_cohort,%,mean,0.0031123203078120233,-0.001651659105977349,0.007876299721601396,10,720
3,c,stress,EDF,phase_degradation_deadline_expiration_class0_by_arrival_cohort,%,mean,0.1888650766194693,0.07306436920597903,0.3046657840329596,10,720
3,c,stress,EDF,phase_recovery_deadline_expiration_class0_by_arrival_cohort,%,mean,0.0,0.0,0.0,10,720
3,c,stress,LyapunovDPP-Energy,phase_pre_surge_deadline_expiration_class0_by_arrival_cohort,%,mean,1.3907714170877716,1.2258040270835417,1.5557388070920015,10,720
3,c,stress,LyapunovDPP-Energy,phase_surge_deadline_expiration_class0_by_arrival_cohort,%,mean,13.246064777312142,12.477350058328293,14.014779496295992,10,720
3,c,stress,LyapunovDPP-Energy,phase_degradation_deadline_expiration_class0_by_arrival_cohort,%,mean,32.530788303739705,31.529081060950617,33.53249554652879,10,720
3,c,stress,LyapunovDPP-Energy,phase_recovery_deadline_expiration_class0_by_arrival_cohort,%,mean,13.50215709826414,12.559041228828512,14.445272967699768,10,720
3,c,stress,SASP,phase_pre_surge_deadline_expiration_class0_by_arrival_cohort,%,mean,0.0,0.0,0.0,10,720
3,c,stress,SASP,phase_surge_deadline_expiration_class0_by_arrival_cohort,%,mean,0.19489560578740212,0.1505395663470176,0.23925164522778664,10,720
3,c,stress,SASP,phase_degradation_deadline_expiration_class0_by_arrival_cohort,%,mean,1.05695108486657,0.8686332878812987,1.2452688818518411,10,720
3,c,stress,SASP,phase_recovery_deadline_expiration_class0_by_arrival_cohort,%,mean,0.11710862698711173,0.05458228812973495,0.17963496584448851,10,720
3,d,stationary,MaxRateMatching,cohort_goodput_mbps,Mbps,mean,3.2265686728395067,3.211591937986001,3.241545407693012,10,720
3,d,stress,MaxRateMatching,cohort_goodput_mbps,Mbps,mean,3.70903549382716,3.6955192386320856,3.7225517490222346,10,720
3,d,long_stress,MaxRateMatching,cohort_goodput_mbps,Mbps,mean,3.283082407407408,3.267368970979377,3.298795843835439,5,120
3,d,stationary,MaxWeight,cohort_goodput_mbps,Mbps,mean,3.2257037037037035,3.210617588502338,3.240789818905069,10,720
3,d,stress,MaxWeight,cohort_goodput_mbps,Mbps,mean,3.7040717592592594,3.68798613036354,3.7201573881549788,10,720
3,d,long_stress,MaxWeight,cohort_goodput_mbps,Mbps,mean,3.2558453703703707,3.241134486915331,3.2705562538254105,5,120
3,d,stationary,WeightedMaxWeight,cohort_goodput_mbps,Mbps,mean,3.2272600308641977,3.2123041040226017,3.2422159577057936,10,720
3,d,stress,WeightedMaxWeight,cohort_goodput_mbps,Mbps,mean,3.7746381172839505,3.761228530599001,3.7880477039689,10,720
3,d,long_stress,WeightedMaxWeight,cohort_goodput_mbps,Mbps,mean,3.298385185185185,3.2828429719072836,3.3139273984630866,5,120
3,d,stationary,EDF,cohort_goodput_mbps,Mbps,mean,3.229138117283951,3.214211187542226,3.2440650470256758,10,720
3,d,stress,EDF,cohort_goodput_mbps,Mbps,mean,4.034663580246914,4.012748784135467,4.0565783763583605,10,720
3,d,long_stress,EDF,cohort_goodput_mbps,Mbps,mean,3.4876240740740743,3.473832131773615,3.5014160163745336,5,120
3,d,stationary,LyapunovDPP-Energy,cohort_goodput_mbps,Mbps,mean,3.21019212962963,3.19622398726483,3.2241602719944296,10,720
3,d,stress,LyapunovDPP-Energy,cohort_goodput_mbps,Mbps,mean,3.6715941358024686,3.6598178001171964,3.683370471487741,10,720
3,d,long_stress,LyapunovDPP-Energy,cohort_goodput_mbps,Mbps,mean,3.230921296296296,3.2189460578447346,3.242896534747857,5,120
3,d,stationary,SASP,cohort_goodput_mbps,Mbps,mean,3.2294390432098767,3.214465009719505,3.2444130767002486,10,720
3,d,stress,SASP,cohort_goodput_mbps,Mbps,mean,4.175562500000001,4.152952552338683,4.198172447661318,10,720
3,d,long_stress,SASP,cohort_goodput_mbps,Mbps,mean,3.6508453703703707,3.62440692620216,3.6772838145385816,5,120
3,e,stationary,MaxRateMatching,queue_overflow_packet_probability,%,mean,0.03785320095670501,0.022481277986659477,0.053225123926750544,10,720
3,e,stress,MaxRateMatching,queue_overflow_packet_probability,%,mean,6.31776069420507,6.108981193936385,6.526540194473755,10,720
3,e,long_stress,MaxRateMatching,queue_overflow_packet_probability,%,mean,9.82954033993962,9.550352790241497,10.108727889637741,5,120
3,e,stationary,MaxWeight,queue_overflow_packet_probability,%,mean,0.028106215169827503,0.0149286123139007,0.04128381802575431,10,720
3,e,stress,MaxWeight,queue_overflow_packet_probability,%,mean,4.751375421425284,4.570620649806752,4.932130193043816,10,720
3,e,long_stress,MaxWeight,queue_overflow_packet_probability,%,mean,9.50902127295827,9.098458619079784,9.919583926836756,5,120
3,e,stationary,WeightedMaxWeight,queue_overflow_packet_probability,%,mean,0.023582629085699174,0.011080549120834476,0.03608470905056387,10,720
3,e,stress,WeightedMaxWeight,queue_overflow_packet_probability,%,mean,4.324063229245246,4.166265236999513,4.481861221490979,10,720
