suite,method,metric,mean,ci95_low,ci95_high,n_blocks,n_evaluable_scenarios
stationary,WeightedMaxWeight,total_packet_failure_probability,0.0007661670746923071,0.0006041697759235275,0.0009281643734610868,10,720
stationary,WeightedMaxWeight,throughput_mbps,3.3134842563797706,3.2990488690607607,3.3279196436987806,10,720
stationary,WeightedMaxWeight,controller_median_ms,0.9537231944444444,0.9102820259075989,0.99716436298129,10,720
stationary,WeightedMaxWeight,controller_p95_ms,2.25662436111111,1.8843457556526542,2.628902966569566,10,720
stationary,EDF,cohort_goodput_mbps,3.229138117283951,3.214211187542226,3.2440650470256758,10,720
stationary,EDF,queue_overflow_packet_probability,5.7272467051386325e-05,1.5809190263412715e-05,9.873574383935993e-05,10,720
stationary,EDF,deadline_expiration_class0,0.0,0.0,0.0,10,719
stationary,EDF,deadline_expiration_class1,0.0,0.0,0.0,10,720
stationary,EDF,deadline_expiration_class2,0.0,0.0,0.0,10,720
stationary,EDF,energy_j,0.07065751642608077,0.0703788828792226,0.07093614997293894,10,720
stationary,EDF,total_packet_failure_probability,5.7272467051386325e-05,1.5809190263412715e-05,9.873574383935993e-05,10,720
stationary,EDF,throughput_mbps,3.30725340830653,3.2935592351859673,3.320947581427093,10,720
stationary,EDF,controller_median_ms,0.8895813888888888,0.8504087947623268,0.9287539830154509,10,720
stationary,EDF,controller_p95_ms,1.96132748611111,1.6194918301767243,2.303163142045496,10,720
stationary,LyapunovDPP-Energy,cohort_goodput_mbps,3.21019212962963,3.19622398726483,3.2241602719944296,10,720
stationary,LyapunovDPP-Energy,queue_overflow_packet_probability,0.001254228179968619,0.0009813826222695526,0.0015270737376676855,10,720
stationary,LyapunovDPP-Energy,deadline_expiration_class0,0.009728704524227786,0.0088673447361289,0.010590064312326671,10,719
stationary,LyapunovDPP-Energy,deadline_expiration_class1,0.002972162363960861,0.0026175327791778387,0.0033267919487438833,10,720
stationary,LyapunovDPP-Energy,deadline_expiration_class2,0.0010798205240221035,0.0006742457844486172,0.0014853952635955898,10,720
stationary,LyapunovDPP-Energy,energy_j,0.06403682892961507,0.06385823291454523,0.0642154249446849,10,720
stationary,LyapunovDPP-Energy,total_packet_failure_probability,0.0069902564964634,0.006553123365772271,0.007427389627154529,10,720
stationary,LyapunovDPP-Energy,throughput_mbps,3.2986712209890934,3.2848790500032803,3.3124633919749065,10,720
stationary,LyapunovDPP-Energy,controller_median_ms,1.0521956944444446,1.0079820550701803,1.0964093338187089,10,720
stationary,LyapunovDPP-Energy,controller_p95_ms,2.612078388888887,2.220952979630039,3.0032037981477355,10,720
stress,SASP,cohort_goodput_mbps,4.175562500000001,4.152952552338683,4.198172447661318,10,720
stress,SASP,queue_overflow_packet_probability,0.0164402331483642,0.01483947564410929,0.01804099065261911,10,720
stress,SASP,deadline_expiration_class0,0.0030416886944360207,0.0025585246157100805,0.003524852773161961,10,719
stress,SASP,deadline_expiration_class1,0.004529905269680187,0.0032586002446276423,0.0058012102947327315,10,720
stress,SASP,deadline_expiration_class2,0.006102865740477731,0.005054999206421633,0.007150732274533829,10,720
stress,SASP,energy_j,0.09710264908057371,0.09604655549795765,0.09815874266318977,10,720
stress,SASP,total_packet_failure_probability,0.02019283569646341,0.018089201819923562,0.02229646957300326,10,720
stress,SASP,throughput_mbps,3.716548462614322,3.698329321920008,3.7347676033086357,10,720
stress,SASP,controller_median_ms,6.661693194444444,6.522265601288153,6.801120787600736,10,720
stress,SASP,controller_p95_ms,12.212358763888883,11.869179414955285,12.55553811282248,10,720
stress,MaxRateMatching,cohort_goodput_mbps,3.70903549382716,3.6955192386320856,3.7225517490222346,10,720
stress,MaxRateMatching,queue_overflow_packet_probability,0.0631776069420507,0.061089811939363844,0.06526540194473755,10,720
stress,MaxRateMatching,deadline_expiration_class0,0.051139962019719896,0.048953049324246524,0.05332687471519327,10,719
stress,MaxRateMatching,deadline_expiration_class1,0.07492752489693831,0.0713175266803078,0.07853752311356882,10,720
stress,MaxRateMatching,deadline_expiration_class2,0.029810790561357298,0.027119249362298214,0.032502331760416385,10,720
stress,MaxRateMatching,energy_j,0.08458912779470348,0.08391141904001295,0.08526683654939402,10,720
